file_size	file_name	download_status
962.52	408) World History Class 15 - 240723.mp4	NOT_UPLOADED
963.28	407) World History Class 14 - 230723.mp4	NOT_UPLOADED
947.66	406) World History Class 13 - 200723.mp4	NOT_UPLOADED
1052.94	405) World History Class 12 - 130723.mp4	NOT_UPLOADED
1052.09	404) World History Class 11 - 070723.mp4	NOT_UPLOADED
910.94	403) World History Class 10 - 060723.mp4	NOT_UPLOADED
973.24	402) World History Class 09 - 030623.mp4	NOT_UPLOADED
956.29	401) World History Class 08 - 020623.mp4	NOT_UPLOADED
1019.56	400) World History Class 07 - 310523.mp4	NOT_UPLOADED
1032.66	399) World History Class 06 - 280523.mp4	NOT_UPLOADED
996.76	398) World History Class 05 - 270523.mp4	NOT_UPLOADED
1080.61	397) World History Class 04 - 260523.mp4	NOT_UPLOADED
1095.85	396) World History Class 03 - 230523.mp4	NOT_UPLOADED
1008.99	395) World History Class 02 - 220523.mp4	NOT_UPLOADED
1042.66	394) World History Class 01 - 200523.mp4	NOT_UPLOADED
564.31	393) Social justice Class 05 - 190124.mp4	NOT_UPLOADED
829.53	392) Social Justice Class 04 - 180124.mp4	NOT_UPLOADED
936.46	391) Social Justice Class 03 - 170124.mp4	NOT_UPLOADED
677.55	390) Social Justice Class 02 - 150124.mp4	NOT_UPLOADED
600.98	389) Social Justice Class 01 - 150124.mp4	NOT_UPLOADED
940.24	388) Society Class 14 - 120124.mp4	NOT_UPLOADED
713.41	387) Society Class 13 - 110124.mp4	NOT_UPLOADED
920.79	386) Society Class 12 - 110124.mp4	NOT_UPLOADED
909.79	385) Society Class 11 - 100124.mp4	NOT_UPLOADED
868.64	384) Society Class 10 - 090124.mp4	NOT_UPLOADED
905.65	383) Society Class 09 - 080124.mp4	NOT_UPLOADED
852.93	382) Society Class 08 - 080124.mp4	NOT_UPLOADED
688.5	381) Society Class 07 - 221223.mp4	NOT_UPLOADED
1090.12	380) Society Class 06 - 211223.mp4	NOT_UPLOADED
883.32	379) Society Class 05 - 201223.mp4	NOT_UPLOADED
1219.01	378) Society Class 04 - 191223.mp4	NOT_UPLOADED
1342.17	377) Society Class 03 - 181223.mp4	NOT_UPLOADED
970.0	376) Society Class 02 - 141223.mp4	NOT_UPLOADED
931.56	375) Society Class 01 - 131223.mp4	NOT_UPLOADED
775.66	374) Security Class 11 - 281223.mp4	NOT_UPLOADED
